Benchmark,Cache:Flat=100:0,Cache:Flat=75:25,Cache:Flat=50:50,Cache:Flat=25:75,Cache:Flat=0:100
500.perlbench_r,,,,,
502.gcc_r,,,,,
503.bwaves_r,,,,,
505.mcf_r,,,,,
507.cactuBSSN_r,,,,,
508.namd_r,,,,,
510.parest_r,,,,,
511.povray_r,,,,,
519.lbm_r,,,,,
520.omnetpp_r,,,,,
521.wrf_r,,,,,
523.xalancbmk_r,,,,,
525.x264_r,,,,,
526.blender_r,,,,,
527.cam4_r,,,,,
531.deepsjeng_r,,,,,
538.imagick_r,,,,,
541.leela_r,,,,,
544.nab_r,,,,,
548.exchange2_r,,,,,
549.fotonik3d_r,,,,,
554.roms_r,,,,,
mix1,1.449145857,1.498432035,1.547363984,1.737771177,2.037808757
mix2,1.324098379,1.297007215,1.362907044,1.360975423,1.837684071
mix3,1.368577697,1.343528033,1.374540714,1.419202141,1.586111836
mix4,1.192032644,1.190872694,1.234967963,1.262918572,1.293886888
557.xz_r,,,,,
Bellmanford.ljournal,,,,,
Freqmine,,,,,
Dedup,,,,,
Fluidaminate,,,,,
Blackscholes,,,,,
Raytrace,,,,,
Vips,,,,,
Streamcluster,,,,,
Facesim,,,,,
Canneal,,,,,
Bodytrack,,,,,
Ferret,,,,,
x264,,,,,
Swaptions,,,,,
Geomean,,,,,