Benchmark,256B CF,64B CF,256B Performance,64B Performance,FPC CF,BDI CF
500.perlbench_r,,,,,,
502.gcc_r,,,,,,
503.bwaves_r,,,,,,
505.mcf_r,,,,,,
507.cactuBSSN_r,,,,,,
508.namd_r,,,,,,
510.parest_r,,,,,,
511.povray_r,,,,,,
519.lbm_r,,,,,,
520.omnetpp_r,,,,,,
521.wrf_r,,,,,,
523.xalancbmk_r,,,,,,
525.x264_r,,,,,,
526.blender_r,,,,,,
527.cam4_r,,,,,,
531.deepsjeng_r,,,,,,
538.imagick_r,,,,,,
541.leela_r,,,,,,
544.nab_r,,,,,,
548.exchange2_r,,,,,,
549.fotonik3d_r,,,,,,
554.roms_r,,,,,,
557.xz_r,,,,,,
mix1,1.48,1.46,0.990066225,1,1.45,1.43
mix2,1.31,1.27,0.9270833337,1,1.16,1.26
mix3,1.59,1.41,1.051898734,1,1.41,1.22
mix4,1.29,1.28,0.974654378,1,1.1,1.25
PageRank.ljournal,,,,,,
Bellmanford.ljournal,,,,,,
Freqmine,,,,,,
Dedup,,,,,,
Fluidaminate,,,,,,
Low MPKI Geomean,,,,,,
Medium MPKI Geomean,,,,,,
High MPKI Geomean,,,,,,