Benchmark,2 Hitrate,4 Hitrate,8 Hitrate,16 Hitrate,2 Performance,4 Performance,"8 Performance ",16 Performance
500.perlbench_r,,,,,,,,
502.gcc_r,0.81,0.82,0.82,0.82,0.9923371648,0.995196926,"1",1.017681729
503.bwaves_r,,,,,,,,
505.mcf_r,0.61,0.61,0.61,0.62,0.9831756046,0.9852476291,"1",1.02233677
507.cactuBSSN_r,,,,,,,,
508.namd_r,,,,,,,,
510.parest_r,,,,,,,,
511.povray_r,,,,,,,,
519.lbm_r,,,,,,,,
520.omnetpp_r,0.67,0.69,0.69,0.69,0.9785522788,0.9838274933,"1",1.036931818
521.wrf_r,,,,,,,,
523.xalancbmk_r,,,,,,,,
525.x264_r,,,,,,,,
526.blender_r,,,,,,,,
527.cam4_r,,,,,,,,
531.deepsjeng_r,,,,,,,,
538.imagick_r,,,,,,,,
541.leela_r,,,,,,,,
544.nab_r,,,,,,,,
548.exchange2_r,,,,,,,,
549.fotonik3d_r,0.70,0.76,0.80,0.82,0.7943925234,0.9042553191,"1",1.066945607
554.roms_r,,,,,,,,
557.xz_r,0.38,0.38,0.40,0.43,0.9620253165,0.9743589744,"1",1.062937063
mix1,0.56,0.56,0.56,0.59,0.7746478873,0.9090909091,"1",1.145833333
mix2,0.59,0.61,0.63,0.62,0.9593495935,0.9752066116,"1",0.9752066116
mix3,0.53,0.53,0.64,0.65,0.8213483146,0.8744019139,"1",1.020949721
mix4,0.50,0.55,0.59,0.63,0.8104089219,0.9276595745,"1",1.023474178
PageRank.ljournal,,,,,,,,
Bellmanford.ljournal,,,,,,,,
Freqmine,,,,,,,,
Dedup,,,,,,,,
Fluidaminate,,,,,,,,
Low MPKI Geomean,,,,,,,,
Medium MPKI Geomean,,,,,,,,
High MPKI Geomean,,,,,,,,