Benchmark,32MB Hit Rate,64MB Hit Rate,128MB Hit Rate,32MB Performance,64MB Performance,128MB Performance,32MB Layout,64MB Layout,128MB Layout
500.perlbench_r,,,,,,,,,
502.gcc_r,0.81,0.83,0.88,0.90,1.00,1.20,,,
503.bwaves_r,,,,,,,,,
505.mcf_r,0.59,0.61,0.64,0.99,1.00,1.01,,,
507.cactuBSSN_r,,,,,,,,,
508.namd_r,,,,,,,,,
510.parest_r,,,,,,,,,
511.povray_r,,,,,,,,,
519.lbm_r,,,,,,,,,
520.omnetpp_r,0.64,0.67,0.75,0.97,1.00,1.08,,,
521.wrf_r,,,,,,,,,
523.xalancbmk_r,,,,,,,,,
525.x264_r,,,,,,,,,
526.blender_r,,,,,,,,,
527.cam4_r,,,,,,,,,
531.deepsjeng_r,,,,,,,,,
538.imagick_r,,,,,,,,,
541.leela_r,,,,,,,,,
544.nab_r,,,,,,,,,
548.exchange2_r,,,,,,,,,
549.fotonik3d_r,0.66,0.80,0.82,0.77,1.00,1.01,,,
554.roms_r,,,,,,,,,
557.xz_r,0.29,0.40,0.38,0.95,1.00,0.99,,,
mix1,0.55,0.60,0.65,0.78,1.00,1.10,0.682,0.781,0.814
mix2,0.56,0.62,0.69,0.93,1.00,1.038,0.6524,0.714,0.78225
mix3,0.52,0.60,0.64,0.828,1,1.060,0.5869,0.708,0.7225
mix4,0.52,0.60,0.66,0.9961,1,1.03,0.6287,0.751875,0.783
PageRank.ljournal,,,,,,,,,
Bellmanford.ljournal,,,,,,,,,
Freqmine,,,,,,,,,
Dedup,,,,,,,,,
Fluidaminate,,,,,,,,,